id	description	en	local
def_inventory_equipment_oxygen_mask_s_desc		A small equipment storage unit containing an oxygen mask.	小型装备架，存储一个氧气面罩
def_inventory_equipment_oxygen_mask_node_0_label		Electric	电源
def_inventory_equipment_oxygen_mask_node_0_desc		Electrical power connection.	电源连接
def_inventory_equipment_radio_name		Equipment inventory (Radio)	装备架(无线电)
def_inventory_equipment_radio_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Hold [$[action_equipment_use]] transmit voice audio. Press [$[action_equipment_secondary]] to cycle between frequencies 0~8, or turn the radio off. When a frequncy is selected, the radio will transmit and receive voice audio on that frequency only. This equipment requires electric charge to function, and will recharge when placed into a powered small equipment storage unit. This equipment can be stored on the belt when not in use.	按下 [$[action_interact_left]]/[$[action_interact_right]] 能装备/收起选中物品。按住 [$[action_equipment_use]] 来发送语音，按下 [$[action_equipment_secondary]] 来在频道0~8之间切换或关掉无线电。当选中一个特定频率后，无线电只会在该频率上收发音频信号。该设备需要充电才能发挥作用，放入已供电的小型装备架时充电。不使用时可以挂在腰上。
def_inventory_equipment_radio_s_desc		A small equipment storage unit containing a handheld radio.	小型装备架，存储一个手持无线电
def_inventory_equipment_radio_node_0_label		Electric	电源
def_inventory_equipment_radio_node_0_desc		Electrical power connection.	电源连接
def_inventory_equipment_radio_signal_locator_name		Equipment inventory (Radio Signal Locator)	装备架(无线电信号定位器)
def_inventory_equipment_radio_signal_locator_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to toggle the locator on or off. When active, the locator produces audible beeps that increase in frequency as the player nears an active transponder. The handheld locator has a shorter detection range than the vehicle mounted locator, but can narrow down the target location to a smaller area. This equipment requires electric charge to function, and will recharge when placed into a powered large equipment storage unit. This equipment can be stored on the back when not in use.	按下 [$[action_interact_left]]/[$[action_interact_right]] 能装备/收起选中物品。按下[$[action_equipment_use]]来开关定位器。当打开时，定位器会持续发出滴滴声，并且越接近信号源滴滴声频率越高。手持无线电定位器的有效范围比载具定位器小，但能够在小范围内更加精确定位。该设备需要充电才能发挥作用，放入已供电的大型装备架时充电。不使用时可以放在背后。
def_inventory_equipment_radio_signal_locator_s_desc		A large equipment storage unit containing a handheld transponder locator.	小型装备架，存储一个手持无线电信号定位器
def_inventory_equipment_radio_signal_locator_node_0_label		Electric	电源
def_inventory_equipment_radio_signal_locator_node_0_desc		Electrical power connection.	电源连接
def_inventory_equipment_remote_control_name		Equipment inventory (Remote Control Unit)	装备架(远程控制单元)
def_inventory_equipment_remote_control_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to toggle the remote control on or off. Press [$[action_equipment_secondary]] to cycle between frequencies 0~8. When active, the remote control uses the basic vehicle pilot seat input bindings and transmits them as composite radio data on the selected frequency. This equipment requires electric charge to function, and will recharge when placed into a powered small equipment storage unit. This equipment can be stored on the belt when not in use.	按下 [$[action_interact_left]]/[$[action_interact_right]] 能装备/收起选中物品。按下 [$[action_equipment_use]] 来切换远程控制开关，按下 [$[action_equipment_secondary]] 来循环0~8的频率。当开启时，远程控制将玩家操作输出为混合信号(参照基础载具控制)发送到指定频率。该设备需要充电才能发挥作用，放入已供电的小型装备架时充电。不使用时可以挂在腰上。
def_inventory_equipment_remote_control_s_desc		A small equipment storage unit containing a remote control unit.	小型装备架，存储一个远程控制单元
def_inventory_equipment_remote_control_node_0_label		Electric	电源
def_inventory_equipment_remote_control_node_0_desc		Electrical power connection.	电源连接
def_inventory_equipment_rope_name		Equipment inventory (Rope)	装备架(绳索)
def_inventory_equipment_rope_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to attach the rope to any rope anchor. Pressing [$[action_interact_left]]/[$[action_interact_right]] on an occupied rope anchor will retrieve the rope if the player has inventory space to hold it. This equipment can be stored on the back when not in use.	按下 [$[action_interact_left]]/[$[action_interact_right]] 能装备/收起选中物品。 按下 [$[action_equipment_use]] 来将绳索连接到未占用的绳索锚点。 如果有剩余空间，在已经占用的绳索锚点按下 [$[action_interact_left]]/[$[action_interact_right]] 将会把绳索收回到玩家库存。 不使用时，这个装备能够收到背后。
def_inventory_equipment_rope_s_desc		A large equipment storage unit containing 20m of rope.	大型装备架，存储20m长绳索
def_inventory_equipment_rope_node_0_label		Electric	电源
def_inventory_equipment_rope_node_0_desc		Electrical power connection.	电源连接
def_inventory_equipment_strobe_light_name		Equipment inventory (Strobe Light)	装备架(频闪灯)
def_inventory_equipment_strobe_light_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to toggle the strobe light on or off. Press [$[action_equipment_secondary]] to toggle MOB (man overboard) mode, which will automatically turn the strobe light on if the player is submerged in water. The strobe light will continue to function when unequipped or discarded. This equipment requires electric charge to function, and will recharge when placed into a powered small equipment storage unit. This equipment can be stored on the belt.	按下 [$[action_interact_left]]/[$[action_interact_right]] 能装备/收起选中物品。按下 [$[action_equipment_use]] 来开关频闪灯。按下 [$[action_equipment_secondary]] 开关MOB(落水)模式，MOB模式下会在玩家落入水中时自动打开频闪。频闪灯在不被装备时依然会继续作用。该设备需要充电才能发挥作用，放入已供电的小型装备架时充电。不使用时可以挂在腰上。
def_inventory_equipment_strobe_light_s_desc		A small equipment storage unit containing a strobe light.	小型装备架，存储一个频闪灯
def_inventory_equipment_strobe_light_node_0_label		Electric	电源
def_inventory_equipment_strobe_light_node_0_desc		Electrical power connection.	电源连接
def_inventory_equipment_strobe_light_infrared_name		Equipment inventory (Strobe Light, Infrared)	装备架(红外频闪灯)
def_inventory_equipment_strobe_light_infrared_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to toggle the strobe light on or off. Press [$[action_equipment_secondary]] to toggle MOB (man overboard) mode, which will automatically turn the strobe light on if the player is submerged in water. The strobe light will continue to function when unequipped or discarded. The infrared strobe light flashes are only visible to infrared cameras. This equipment requires electric charge to function, and will recharge when placed into a powered small equipment storage unit. This equipment can be stored on the belt.	按下 [$[action_interact_left]]/[$[action_interact_right]] 能装备/收起选中物品。按下 [$[action_equipment_use]] 来开关频闪灯。按下 [$[action_equipment_secondary]] 开关MOB(落水)模式，MOB模式下会在玩家落入水中时自动打开频闪。频闪灯在不被装备时依然会继续作用。红外频闪灯只能被红外模式下的摄像头观察到。该设备需要充电才能发挥作用，放入已供电的小型装备架时充电。不使用时可以挂在腰上。
def_inventory_equipment_strobe_light_infrared_s_desc		A small equipment storage unit containing an infrared strobe light.	小型装备架，存储一个红外频闪灯
def_inventory_equipment_strobe_light_infrared_node_0_label		Electric	电源
def_inventory_equipment_strobe_light_infrared_node_0_desc		Electrical power connection.	电源连接
def_inventory_equipment_transponder_name		Equipment inventory (Transponder)	装备架(应答器)
def_inventory_equipment_transponder_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Press [$[action_equipment_use]] to toggle the transponder on or off. Press [$[action_equipment_secondary]] to toggle MOB (man overboard) mode, which will automatically turn the transponder on if the player is submerged in water. The transponder will continue to function when unequipped or discarded. This equipment requires electric charge to function, and will recharge when placed into a powered small equipment storage unit. This equipment can be stored on the belt.	按下 [$[action_interact_left]]/[$[action_interact_right]] 能装备/收起选中物品。按下 [$[action_equipment_use]] 来开关应答器。按下 [$[action_equipment_secondary]] 开关MOB(落水)模式，MOB模式下会在玩家落入水中时自动打开应答器。应答器在不被装备时依然会继续作用。该设备需要充电才能发挥作用，放入已供电的小型装备架时充电。不使用时可以挂在腰上。
def_inventory_equipment_transponder_s_desc		A small equipment storage unit containing a handheld transponder.	小型装备架，存储一个手持应答器
def_inventory_equipment_transponder_node_0_label		Electric	电源
def_inventory_equipment_transponder_node_0_desc		Electrical power connection.	电源连接
def_inventory_equipment_underwater_welding_torch_name		Equipment inventory (Underwater Welding Torch)	装备架(水下火旱枪)
def_inventory_equipment_underwater_welding_torch_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Hold [$[action_equipment_use]] to repair damaged vehicle components highlighted by the players crosshair. The underwater welding torch holds less fuel than the standard welding torch, but can be operated while submerged in water. This equipment has a limited fuel capacity and cannot be refilled. This equipment can be stored on the back when not in use.	按下 [$[action_interact_left]]/[$[action_interact_right]] 能装备/收起选中物品。按住 [$[action_equipment_use]] 来维修准星指向的载具部件。水下火旱枪比标准火旱枪携带更少的燃料，但是能够在水下工作。这个装备燃料有限而且不能补充。不使用时可以放在背后。
def_inventory_equipment_underwater_welding_torch_s_desc		A large equipment storage unit containing an underwater welding torch.	大型装备架，存储一个水下火旱枪 [译注:这游戏不支持han字...]
def_inventory_equipment_underwater_welding_torch_node_0_label		Electric	电源
def_inventory_equipment_underwater_welding_torch_node_0_desc		Electrical power connection.	电源连接
def_inventory_equipment_welding_torch_name		Equipment inventory (Welding Torch)	装备架(火旱枪)
def_inventory_equipment_welding_torch_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Hold [$[action_equipment_use]] to repair damaged vehicle components highlighted by the players crosshair. This equipment has a limited fuel capacity and cannot be refilled. This equipment can be stored on the back when not in use.	按下 [$[action_interact_left]]/[$[action_interact_right]] 能装备/收起选中物品。按住 [$[action_equipment_use]] 来维修准星指向的载具部件。这个装备燃料有限而且不能补充。不使用时可以放在背后。
def_inventory_equipment_welding_torch_s_desc		A large equipment storage unit containing a welding torch.	大型装备架，存储一个火旱枪 [译注:这游戏不支持han字...]
def_inventory_equipment_welding_torch_node_0_label		Electric	电源
def_inventory_equipment_welding_torch_node_0_desc		Electrical power connection.	电源连接
def_inventory_medium_name		Large equipment inventory	大装备架
def_inventory_medium_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Only large handheld equipment can be stored in this unit. When connected to an electric power source, any rechargable equipment stored in the unit will drain a small amount of electricity until recharged to 100% capacity.	按下 [$[action_interact_left]]/[$[action_interact_right]] 能装备/收起选中物品。只有大型手持装备能够放在这个架子中。当连接到电源时，其内的装备可以得到充电。
def_inventory_medium_s_desc		An empty large equipment storage unit.	一个空的大型装备架
def_inventory_medium_node_0_label		Electric	电源
def_inventory_medium_node_0_desc		Electrical power connection.	电源连接
def_inventory_outfit_name		Outfit Inventory (Empty)	装备架(空)
def_inventory_outfit_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected outfit. Only specialist outfits can be stored in this unit. When connected to an electric power source, any rechargable outfits stored in the unit will drain a small amount of electricity until recharged to 100% capacity.	如果你穿的是专业服装，按$[action_interact_left]/[$[action_interact_right]]将其储存在本单元中。
def_inventory_outfit_s_desc		An empty outfit storage unit.	一个空的装备储藏室。
def_inventory_outfit_node_0_label		Electric	电源
def_inventory_outfit_node_0_desc		Electrical power connection.	电源连接
def_inventory_outfit_arctic_name		Outfit Inventory (Arctic)	装备架(极地)
def_inventory_outfit_arctic_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the outfit. When equipped, it will increase your temperature enough to survive in colder weather conditions. Its thermal effectiveness is reduced when wet.	按 [$[action_interact_left]]/[$[action_interact_right]]将装备/储存装备。装备后，它会使你的体温升高，足以在更冷的天气条件下生存。湿的时候它的热效率会降低。
def_inventory_outfit_arctic_s_desc		An outfit inventory unit containing specialist thermal clothing for surviving Arctic temperatures.	一种装备架，装有专门的保暖服，用于抵御北极的温度。
def_inventory_outfit_arctic_node_0_label		Electric	电源
def_inventory_outfit_arctic_node_0_desc		Electrical power connection.	电源连接
def_inventory_outfit_diving_name		Outfit Inventory (Diving)	装备架(潜水)
def_inventory_outfit_diving_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the outfit. When equipped, it will allow deep sea diving to a depth of 250m, and provides air for 10 minutes. The air tank can be refilled by storing the equipment in an outfit inventory unit.	按 [$[action_interact_left]]/[$[action_interact_right]]将装备/储存装备。如果装备，它将允许深海潜水到250米的深度，并提供10分钟的气体。可通过将设备存储在装备架单元中来重新填充气罐。
def_inventory_outfit_diving_s_desc		An outfit inventory unit containing specialist diving equipment.	一个装备架，包含专业潜水设备。
def_inventory_outfit_diving_node_0_label		Electric	电源
def_inventory_outfit_diving_node_0_desc		Electrical power connection.	电源连接
def_inventory_outfit_firefighter_name		Outfit Inventory (Firefighter)	装备架(消防员)
def_inventory_outfit_firefighter_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store outfit. When equipped, it will absorb 95% of damage dealt by fires.	按 [$[action_interact_left]]/[$[action_interact_right]]将装备/储存装备。装备后，它将吸收95%的火灾伤害。
def_inventory_outfit_firefighter_s_desc		An outfit inventory unit containing specialist firefighting gear.	包含专业消防装备的装备架。
def_inventory_outfit_firefighter_node_0_label		Electric	电源
def_inventory_outfit_firefighter_node_0_desc		Electrical power connection.	电源连接
def_inventory_outfit_parachute_name		Outfit Inventory (Parachute)	装备架(降落伞)
def_inventory_outfit_parachute_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the outfit. When selected, press [$[action_equipment_use]] while falling to deploy the parachute. It will then open when you are falling fast enough. Press [$[action_equipment_secondary]] to close the parachute. This parachute is single-use once equipped but can be refolded by storing it in an outfit inventory unit.	按 [$[action_interact_left]]/[$[action_interact_right]]将装备/储存装备。装备后，在降落时按 [$[action_use_seat]] 将展开降落伞。当你下降得够快的时候它就会打开。再次按 [$[action_use_seat]] 将关闭它。这种降落伞一经装备就可以一次性使用，但可以通过储存在装备架单元中重新折叠。
def_inventory_outfit_parachute_s_desc		An outfit inventory unit containing a single-use parachute.	装有一次性降落伞的装备架。
def_inventory_outfit_parachute_node_0_label		Electric	电源
def_inventory_outfit_parachute_node_0_desc		Electrical power connection.	电源连接
def_inventory_outfit_scuba_name		Outfit Inventory (Scuba)	装备架(水肺)
def_inventory_outfit_scuba_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the outfit. When equipped, it will allow diving to a depth of 50m, and provides air for 2 minutes. The air tank can be refilled by storing the gear in an outfit inventory unit.	按[$[action_interact_left]]/[$[action_interact_right]]将装备/储存装备。如果装备，它将允许潜水到50米的深度，并提供2分钟的气体。储气罐可以通过将装备储存在装备架单元中来补充。
def_inventory_outfit_scuba_s_desc		An outfit inventory unit containing specialist scuba gear.	一个装备架，包含专业的潜水装备。
def_inventory_outfit_scuba_node_0_label		Electric	电源
def_inventory_outfit_scuba_node_0_desc		Electrical power connection.	电源连接
def_inventory_small_name		Small equipment inventory	小装备架
def_inventory_small_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the selected item. Only small handheld equipment can be stored in this unit. When connected to an electric power source, any rechargable equipment stored in the unit will drain a small amount of electricity until recharged to 100% capacity.	按下 [$[action_interact_left]]/[$[action_interact_right]] 能装备/收起选中物品。只有小型手持装备能够放在这个架子中。当连接到电源时，其内的装备可以得到充电。
def_inventory_small_s_desc		An empty small equipment storage unit.	一个空的小型装备架
def_inventory_small_node_0_label		Electric	电源
def_inventory_small_node_0_desc		Electrical power connection.	电源连接
def_jet_engine_combustion_chamber_name		Jet Combustion Chamber	喷气燃烧室
def_jet_engine_combustion_chamber_desc		This is part of a set of modular jet engine components. Combustion will begin when the internal pressure is high enough.	这是一套模块化喷气发动机部件的一部分。当内部压力足够高时，燃烧开始。
def_jet_engine_combustion_chamber_s_desc		A combustion chamber that burns jet fuel to sustain a jet engine.	燃烧喷气燃料以维持喷气发动机的燃烧室。
def_jet_engine_combustion_chamber_node_0_label		Fuel	燃料
def_jet_engine_combustion_chamber_node_0_desc		Jet fuel input required for combustion.	燃烧所需的喷气燃料输入。
def_jet_engine_combustion_chamber_node_1_label		Throttle	节流阀
def_jet_engine_combustion_chamber_node_1_desc		Throttle control between 0 and 1.	节流阀控制在0和1之间。
def_jet_engine_combustion_chamber_node_2_label		Air Pressure	气压
def_jet_engine_combustion_chamber_node_2_desc		The pressure of air transferred by the chamber.	气室传递的气体压力。
def_jet_engine_combustion_chamber_node_3_label		Temperature	温度
def_jet_engine_combustion_chamber_node_3_desc		The temperature of air transferred by the chamber.	气室传递的气体温度。
def_jet_engine_combustion_chamber_node_4_label		RPS	RPS
def_jet_engine_combustion_chamber_node_4_desc		The rotations per second generated by the chamber.	燃烧室每秒旋转数。
def_jet_engine_compressor_name		Jet Compressor	喷气压缩机
def_jet_engine_compressor_desc		This is part of a set of modular jet engine components. Electrical power is required to begin compression.	这是一套模块化喷气发动机部件的一部分。开始压缩需要电力。
def_jet_engine_compressor_s_desc		A compressor that compresses air within a jet engine.	压缩喷气发动机内气体的压缩机。
def_jet_engine_compressor_node_0_label		Compressor	压缩机
def_jet_engine_compressor_node_0_desc		Enables the compressor.	启动压缩机。
def_jet_engine_compressor_node_1_label		Electric	电源
def_jet_engine_compressor_node_1_desc		Electrical input for starting the compressor.	启动压缩机的电气输入。
def_jet_engine_compressor_node_2_label		Air Pressure	气压
def_jet_engine_compressor_node_2_desc		The pressure of air transferred by the compressor.	压缩机输送的气体压力。
def_jet_engine_compressor_node_3_label		Temperature	温度
def_jet_engine_compressor_node_3_desc		The temperature of air transferred by the compressor.	压缩机输送气体的温度。
def_jet_engine_compressor_node_4_label		RPS	RPS
def_jet_engine_compressor_node_4_desc		The rotations per second generated by the compressor.	压缩机每秒产生的旋转。
def_jet_engine_duct_angle_name		Jet Duct Angle	L型进气管
def_jet_engine_duct_angle_desc			
def_jet_engine_duct_angle_s_desc		An angled section of ducting for use in jet engines.	喷气发动机用的有角度的管道部分。
def_jet_engine_duct_cross_name		Jet Duct Cross	十字进气管
def_jet_engine_duct_cross_desc			
def_jet_engine_duct_cross_s_desc		An cross section of ducting for use in jet engines.	喷气发动机用十字管道。
def_jet_engine_duct_diagonal_name		Jet Duct Diagonal	斜进气管
def_jet_engine_duct_diagonal_desc			
def_jet_engine_duct_diagonal_s_desc		A diagonal section of ducting for use in jet engines.	喷气发动机用的斜截面管道。
def_jet_engine_duct_straight_name		Jet Duct Straight	直进气管
def_jet_engine_duct_straight_desc			
def_jet_engine_duct_straight_s_desc		An straight section of ducting for use in jet engines.	喷气发动机用的一段直的管道。
def_jet_engine_duct_t_name		Jet Duct T	T型进气管
def_jet_engine_duct_t_desc			
def_jet_engine_duct_t_s_desc		A T-shaped section of ducting for use in jet engines.	喷气发动机用的T形管道。
def_jet_engine_exhaust_afterburner_name		Jet Exhaust Afterburner	喷气式加力燃烧室
def_jet_engine_exhaust_afterburner_desc		This is part of a set of modular jet engine components. Thrust will be produced at the back of the exhaust proportional to the internal RPS of the engine. Additional thrust is produced when the afterburner is active, at the cost of increased fuel consumption.	这是一套模块化喷气发动机部件的一部分。推力将在排气后部产生，与发动机的内部转速成比例。当加力燃烧室启动时，会产生额外的推力，以增加燃料消耗为代价。
def_jet_engine_exhaust_afterburner_s_desc		A jet engine exhaust that can burn additional fuel for increased output.	一种喷气发动机的排气装置，可以燃烧额外的燃料以增加输出。
def_jet_engine_exhaust_afterburner_node_0_label		Fuel	燃料
def_jet_engine_exhaust_afterburner_node_0_desc		Jet fuel input to the afterburner.	加力燃烧室的喷气燃料输入。
def_jet_engine_exhaust_afterburner_node_1_label		Air Pressure	气压
def_jet_engine_exhaust_afterburner_node_1_desc		The pressure of air into the exhaust.	气体进入排气管的压力。
def_jet_engine_exhaust_afterburner_node_2_label		Temperature	温度
def_jet_engine_exhaust_afterburner_node_2_desc		The temperature of air into the exhaust.	进入排气管的气体温度。
def_jet_engine_exhaust_afterburner_node_3_label		Thrust Spoiler	止推扰流器
def_jet_engine_exhaust_afterburner_node_3_desc		The air flow spoiler for reducing effective thrust from the exhaust. Takes value 0 (no reduction in thrust) to 1 (total reduction in thrust).	用于减少排气有效推力的气流扰流器。将值0(不减小推力)设置为1(总减小推力)。
def_jet_engine_exhaust_afterburner_node_4_label		Afterburner	加力燃烧室
def_jet_engine_exhaust_afterburner_node_4_desc		Enable the afterburner.	启用加力燃烧室。
def_jet_engine_exhaust_basic_name		Jet Exhaust Basic	基础喷气口
def_jet_engine_exhaust_basic_desc		This is part of a set of modular jet engine components. Thrust will be produced at the back of the exhaust proportional to the internal RPS of the engine.	这是一套模块化喷气发动机部件的一部分。推力将在排气后部产生，与发动机的内部转速成比例。
def_jet_engine_exhaust_basic_s_desc		A jet engine exhaust that will produce thrust.	产生推力的喷气发动机排气。
def_jet_engine_exhaust_basic_node_0_label		Air Pressure	气压
def_jet_engine_exhaust_basic_node_0_desc		The pressure of air into the exhaust.	气体进入排气管的压力。
def_jet_engine_exhaust_basic_node_1_label		Temperature	温度
def_jet_engine_exhaust_basic_node_1_desc		The temperature of air into the exhaust.	进入排气管的气体温度。
def_jet_engine_exhaust_basic_node_2_label		Thrust Spoiler	止推扰流器
def_jet_engine_exhaust_basic_node_2_desc		The air flow spoiler for reducing effective thrust from the exhaust. Takes value 0 (no reduction in thrust) to 1 (total reduction in thrust).	用于减少排气有效推力的气流扰流器。将值0(不减小推力)设置为1(总减小推力)。
def_jet_engine_exhaust_rotating_name		Jet Exhaust Rotating	旋转式喷气口
def_jet_engine_exhaust_rotating_desc		This is part of a set of modular jet engine components. Thrust will be produced at the back of the exhaust proportional to the internal RPS of the engine. The direction of the thrust is controlled using a standard value that sets the target orientation within the pivot's range of motion of -0.5 to 0.5 turns.	这是一套模块化喷气发动机部件的一部分。推力将在排气后部产生，与发动机的内部转速成比例。使用标准值控制推力方向，该值将目标方向设置在枢轴-0.5到0.5圈的运动范围内。
def_jet_engine_exhaust_rotating_s_desc		A jet engine exhaust that has a built-in mechanical pivot.	一种内置机械枢轴的喷气发动机排气装置。
def_jet_engine_exhaust_rotating_node_0_label		Air Pressure	气压
def_jet_engine_exhaust_rotating_node_0_desc		The pressure of air into the exhaust.	气体进入排气管的压力。
def_jet_engine_exhaust_rotating_node_1_label		Temperature	温度
def_jet_engine_exhaust_rotating_node_1_desc		The temperature of air into the exhaust.	进入排气管的气体温度。
def_jet_engine_exhaust_rotating_node_2_label		Thrust Spoiler	止推扰流器
def_jet_engine_exhaust_rotating_node_2_desc		The air flow spoiler for reducing effective thrust from the exhaust. Takes value 0 (no reduction in thrust) to 1 (total reduction in thrust).	用于减少排气有效推力的气流扰流器。将值0(不减小推力)设置为1(总减小推力)。
def_jet_engine_exhaust_rotating_node_3_label		Rotation Target	旋转目标
def_jet_engine_exhaust_rotating_node_3_desc		The standard value setting the orientation within the range of motion.	在运动范围内设置方向的标准值。
def_jet_engine_exhaust_rotating_node_4_label		Electric	电源
def_jet_engine_exhaust_rotating_node_4_desc		Electrical input to power the exhaust's pivot.	为排气枢轴提供动力的电气输入。
def_jet_engine_intake_large_name		Large Jet Intake	大型喷气式进气道
def_jet_engine_intake_large_desc		The intake has turbo fans that will provide additional thrust. The intake will provide a greater air flow when travelling through the air.	进气有涡轮风扇，可以提供额外的推力。当通过气体时，进气口将提供更大的气体流量。
def_jet_engine_intake_large_s_desc		A large intake that will suck air into a jet engine.	将气体吸入喷气发动机的大进气口。
def_jet_engine_intake_large_node_0_label		Air Pressure	气压
def_jet_engine_intake_large_node_0_desc		The pressure of air transferred by the intake.	进气口所传递的气体压力。
def_jet_engine_intake_large_node_1_label		RPS	RPS
def_jet_engine_intake_large_node_1_desc		The rotations per second generated by the intake.	每秒由进气产生的旋转。
def_jet_engine_intake_small_name		Small Jet Intake	小型喷气式进气道
def_jet_engine_intake_small_desc		This is part of a set of modular jet engine components. The intake will provide a greater air flow when travelling through the air.	这是一套模块化喷气发动机部件的一部分。当通过气体时，进气口将提供更大的气体流量。
def_jet_engine_intake_small_s_desc		A small intake that will suck air into a jet engine.	将气体吸入喷气发动机的小进气口。
def_jet_engine_intake_small_node_0_label		Air Pressure	气压
def_jet_engine_intake_small_node_0_desc		The pressure of air transferred by the intake.	进气口所传递的气体压力。
def_jet_engine_intake_small_node_1_label		RPS	RPS
def_jet_engine_intake_small_node_1_desc		The rotations per second generated by the intake.	每秒由进气产生的旋转。
def_jet_engine_turbine_medium_name		Jet Turbine Medium	中型喷气涡轮
def_jet_engine_turbine_medium_desc		This is part of a set of modular jet engine components. This turbine has a torque connection for manually starting using an electric motor, or for powering additional props and generators.	这是一套模块化喷气发动机部件的一部分。该涡轮机有一个扭矩连接，用于使用电动机手动启动，或为附加支柱和发电机供电。
def_jet_engine_turbine_medium_s_desc		A medium turbine that will convert air pressure to RPS within a jet engine.	将气体压力转换为喷气发动机内转速的中等涡轮。
def_jet_engine_turbine_medium_node_0_label		RPS	动力
def_jet_engine_turbine_medium_node_0_desc		The torque of the turbine.	涡轮的扭矩。
def_jet_engine_turbine_medium_node_1_label		Air Pressure	气压
def_jet_engine_turbine_medium_node_1_desc		The pressure of air transferred by the turbine.	涡轮传递的气体压力。
def_jet_engine_turbine_medium_node_2_label		Temperature	温度
def_jet_engine_turbine_medium_node_2_desc		The temperature of air transferred by the turbine.	涡轮传递的气体温度。
def_jet_engine_turbine_medium_node_3_label		RPS	RPS
def_jet_engine_turbine_medium_node_3_desc		The rotations per second generated by the turbine.	涡轮每秒产生的旋转。
def_jet_engine_turbine_medium_node_4_label		Electric	电源
def_jet_engine_turbine_medium_node_4_desc		The electric connection to output electric energy.	输出电能的电气连接。
def_jet_engine_turbine_small_name		Jet Turbine Small	小型喷气涡轮
def_jet_engine_turbine_small_desc		This is part of a set of modular jet engine components.	这是一套模块化喷气发动机部件的一部分。
def_jet_engine_turbine_small_s_desc		A small turbine that will convert air pressure to RPS within a jet engine.	将气体压力转换为喷气发动机内转速的小涡轮。
def_jet_engine_turbine_small_node_0_label		Air Pressure	气压
def_jet_engine_turbine_small_node_0_desc		The pressure of air transferred by the turbine.	涡轮传递的气体压力。
def_jet_engine_turbine_small_node_1_label		Temperature	温度
def_jet_engine_turbine_small_node_1_desc		The temperature of air transferred by the turbine.	涡轮传递的气体温度。
def_jet_engine_turbine_small_node_2_label		RPS	RPS
def_jet_engine_turbine_small_node_2_desc		The rotations per second generated by the turbine.	涡轮每秒产生的旋转。
def_jet_engine_turbine_small_node_3_label		Electric	电源
def_jet_engine_turbine_small_node_3_desc		The electric connection to output electric energy.	输出电能的电气连接。
def_ladder_small_name		Ladder	梯子
def_ladder_small_desc		You can attach to the ladder by pressing [$[action_use_seat]], then detach again by pressing either [$[action_use_seat]] or [$[action_jump]]. You will automatically detach from the ladder when you reach the top.	您可以按[$[action_use_seat]]连接收到梯子，然后按[$[action_use_seat]]或[$[action_jump]]再次分离。到达顶部时，您将自动从梯子上分离。
def_ladder_small_s_desc		Single ladder rung. Multiple rungs can placed on top of each other to form a ladder of abitrary length.	单梯横档。多个横档可以相互叠放，形成一个任意长度的梯子。
def_landing_float_name		Landing Float	着陆浮子
def_landing_float_desc		Ideal for attaching to helicopters to allow them to land on the ocean.	非常适合安装在直升机上，使其能够在海上降落。
def_landing_float_s_desc		A buoyant float.	漂浮的浮子。
def_large_propeller_name		Large Propeller	船用大螺旋桨
def_large_propeller_desc		Power received from an engine affects the forward and backward force generated. This propeller will only operate underwater.	从发动机接收到的功率影响所产生的前进和后退力。这个螺旋桨只能在水下工作。
def_large_propeller_s_desc		A large boat propeller.	一个大船螺旋桨。
def_large_propeller_node_0_label		RPS	动力
def_large_propeller_node_0_desc		Receives power generated by an engine.	接收发动机产生的能量。
def_large_rotor_name		Large Rotor	大螺旋桨
def_large_rotor_desc		Two standard number inputs control the rotor's swashplate, allowing you to affect the its pitch and roll. Power received from an engine affects the amount of up and down force that the rotor will generate. The output force of this rotor is decreased when underwater.	两个标准数字输入控制螺旋桨的旋转斜盘，允许您影响其俯仰(Pitch)和侧倾。从发动机接收到的功率影响螺旋桨将产生的上下力的大小。在水下时，该螺旋桨的输出力减小。
